Date,Open,High,Low,Close,Volume
11/8/2021,325.77,326.11,323.01,325.47,20897000
11/9/2021,325.58,327.14,323.09,324.47,21307369
11/10/2021,323.13,323.19,318.64,319.49,25500939
11/11/2021,319.93,322.36,319.21,321.07,16849840
11/12/2021,322.51,325.7,322.38,325.21,23831051
11/15/2021,326,326.33,322.62,324.58,16723010
11/16/2021,324.21,329.02,324.04,327.9,20886830
11/17/2021,327.95,331.1,327.04,328.13,19053381
11/18/2021,327.22,331.35,326.19,330.21,22463529
11/19/2021,331.53,333.91,331.11,331.99,21963400
,,,,,
,,,,,
